kid	pa	ma	pair
120	T056658_2009	T027587_2006	T027562_2006	T027587_2006--T027562_2006
121	T056661_2009	T028239_2006	T028247_2006	T028239_2006--T028247_2006
122	T056667_2009	T027609_2006	T027647_2006	T027609_2006--T027647_2006
123	T056668_2009	T028320_2006	T028392_2006	T028320_2006--T028392_2006
124	T056670_2009	T029593_2007	T029661_2007	T029593_2007--T029661_2007
125	T056671_2009	T027600_2006	T027524_2006	T027600_2006--T027524_2006
126	T056672_2009	T028336_2006	T028361_2006	T028336_2006--T028361_2006
127	T056676_2009	T027492_2006	T027584_2006	T027492_2006--T027584_2006
128	T056678_2009	T028735_2006	T028758_2006	T028735_2006--T028758_2006
129	T056680_2009	T027545_2006	T027560_2006	T027545_2006--T027560_2006
130	T056683_2009	T028215_2006	T028229_2006	T028215_2006--T028229_2006
131	T056685_2009	T028324_2006	T028388_2006	T028324_2006--T028388_2006
132	T056686_2009	T028530_2006	T028483_2006	T028530_2006--T028483_2006
133	T056687_2009	T028744_2006	T028760_2006	T028744_2006--T028760_2006
134	T056690_2009	T030073_2007	T030090_2007	T030073_2007--T030090_2007
135	T056691_2009	T028210_2006	T028178_2006	T028210_2006--T028178_2006
136	T056692_2009	T028866_2006	T028889_2006	T028866_2006--T028889_2006
137	T056694_2009	T028547_2006	T028606_2006	T028547_2006--T028606_2006
138	T056697_2009	T030700_2007	T030727_2007	T030700_2007--T030727_2007
139	T056698_2009	T029662_2007	T029832_2007	T029662_2007--T029832_2007
140	T056699_2009	T029672_2007	T029620_2007	T029672_2007--T029620_2007
141	T056700_2009	T028448_2006	T028484_2006	T028448_2006--T028484_2006
142	T056702_2009	T028629_2006	T028614_2006	T028629_2006--T028614_2006
143	T056703_2009	T028631_2006	T028602_2006	T028631_2006--T028602_2006
144	T056705_2009	T028617_2006	T028692_2006	T028617_2006--T028692_2006
145	T056706_2009	T028217_2006	T028309_2006	T028217_2006--T028309_2006
146	T056707_2009	T028437_2006	T028488_2006	T028437_2006--T028488_2006
147	T056708_2009	T028862_2006	T028885_2006	T028862_2006--T028885_2006
148	T056711_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
149	T056712_2009	T029581_2007	T029458_2007	T029581_2007--T029458_2007
150	T056713_2009	T030294_2007	T030436_2007	T030294_2007--T030436_2007
151	T056715_2009	T030198_2007	T030155_2007	T030198_2007--T030155_2007
152	T056716_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
153	T056722_2009	T028623_2006	T028599_2006	T028623_2006--T028599_2006
154	T056724_2009	T028216_2006	T028176_2006	T028216_2006--T028176_2006
155	T056725_2009	T029640_2007	T029596_2007	T029640_2007--T029596_2007
156	T056726_2009	T028631_2006	T028602_2006	T028631_2006--T028602_2006
157	T056727_2009	T028344_2006	T028399_2006	T028344_2006--T028399_2006
158	T056729_2009	T028448_2006	T028484_2006	T028448_2006--T028484_2006
159	T056730_2009	T028352_2006	T028364_2006	T028352_2006--T028364_2006
160	T056733_2009	T028543_2006	T028498_2006	T028543_2006--T028498_2006
161	T056734_2009	T028539_2006	T028571_2006	T028539_2006--T028571_2006
162	T056737_2009	T030385_2007	T030260_2007	T030385_2007--T030260_2007
163	T056738_2009	T028448_2006	T028484_2006	T028448_2006--T028484_2006
164	T056741_2009	T028790_2006	T028715_2006	T028790_2006--T028715_2006
165	T056742_2009	T029381_2007	T029825_2007	T029381_2007--T029825_2007
166	T056746_2009	T028811_2006	T028816_2006	T028811_2006--T028816_2006
167	T056747_2009	T030442_2007	T030036_2007	T030442_2007--T030036_2007
168	T056748_2009	T030109_2007	T030221_2007	T030109_2007--T030221_2007
169	T056756_2009	T028527_2006	T028479_2006	T028527_2006--T028479_2006
170	T056758_2009	T028324_2006	T028388_2006	T028324_2006--T028388_2006
171	T056759_2009	T028775_2006	T028684_2006	T028775_2006--T028684_2006
172	T056762_2009	T030514_2007	T030239_2007	T030514_2007--T030239_2007
173	T056763_2009	T029080_2006	T028996_2006	T029080_2006--T028996_2006
174	T056764_2009	T028950_2006	T028983_2006	T028950_2006--T028983_2006
175	T057055_2009	T030264_2007	T030246_2007	T030264_2007--T030246_2007
176	T057056_2009	T029862_2007	T029763_2007	T029862_2007--T029763_2007
177	T057057_2009	T027514_2006	T027523_2006	T027514_2006--T027523_2006
178	T057058_2009	T029510_2007	T029502_2007	T029510_2007--T029502_2007
179	T057059_2009	T030385_2007	T030260_2007	T030385_2007--T030260_2007
180	T057061_2009	T028902_2006	T028923_2006	T028902_2006--T028923_2006
181	T057063_2009	T028910_2006	T028916_2006	T028910_2006--T028916_2006
182	T057064_2009	T028438_2006	T028484_2006	T028438_2006--T028484_2006
183	T057067_2009	T028319_2006	T028367_2006	T028319_2006--T028367_2006
184	T057068_2009	T028297_2006	T028242_2006	T028297_2006--T028242_2006
185	T057069_2009	T029472_2007	T029873_2007	T029472_2007--T029873_2007
186	T057070_2009	T028330_2006	T028359_2006	T028330_2006--T028359_2006
187	T057071_2009	T028732_2006	T028767_2006	T028732_2006--T028767_2006
188	T057073_2009	T028897_2006	T028917_2006	T028897_2006--T028917_2006
189	T057075_2009	T028410_2006	T028425_2006	T028410_2006--T028425_2006
190	T057076_2009	T028515_2006	T028468_2006	T028515_2006--T028468_2006
191	T057078_2009	T028308_2006	T028306_2006	T028308_2006--T028306_2006
192	T057081_2009	T028339_2006	T028380_2006	T028339_2006--T028380_2006
193	T057083_2009	T028904_2006	T028928_2006	T028904_2006--T028928_2006
194	T057084_2009	T028451_2006	T028495_2006	T028451_2006--T028495_2006
195	T057085_2009	T028412_2006	T028428_2006	T028412_2006--T028428_2006
196	T057088_2009	T028617_2006	T028692_2006	T028617_2006--T028692_2006
197	T057089_2009	T028543_2006	T028498_2006	T028543_2006--T028498_2006
198	T057090_2009	T028406_2006	T028424_2006	T028406_2006--T028424_2006
199	T057091_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
200	T057093_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
201	T057094_2009	T028652_2006	T028654_2006	T028652_2006--T028654_2006
202	T057096_2009	T027617_2006	T027650_2006	T027617_2006--T027650_2006
203	T057098_2009	T028670_2006	T028664_2006	T028670_2006--T028664_2006
204	T057101_2009	T028210_2006	T028178_2006	T028210_2006--T028178_2006
205	T057102_2009	T028192_2006	T028189_2006	T028192_2006--T028189_2006
206	T057103_2009	T028239_2006	T028244_2006	T028239_2006--T028244_2006
207	T057104_2009	T028451_2006	T028495_2006	T028451_2006--T028495_2006
208	T057105_2009	T028338_2006	T028363_2006	T028338_2006--T028363_2006
209	T057113_2009	T028529_2006	T028481_2006	T028529_2006--T028481_2006
210	T057114_2009	T028167_2006	T027639_2006	T028167_2006--T027639_2006
211	T057115_2009	T028522_2006	T028473_2006	T028522_2006--T028473_2006
212	T057116_2009	T028515_2006	T028468_2006	T028515_2006--T028468_2006
